type,pts,pos,tm,opp,id,q,init
1f1,0,1,POR,LAC,20120101PORLAC,q1,1
1f1,0,1,LAC,POR,20120101PORLAC,q1,0
2f1,2,1,POR,LAC,20120101PORLAC,q2,1
2f1,0,1,LAC,POR,20120101PORLAC,q2,0
2f1,5,2,LAC,POR,20120101PORLAC,q3,1
2f1,0,2,POR,LAC,20120101PORLAC,q3,0
2f1,2,2,TOR,ORL,20120101TORORL,q1,1
2f1,2,1,ORL,TOR,20120101TORORL,q1,0
1f1,2,1,TOR,ORL,20120101TORORL,q2,1
1f1,0,1,ORL,TOR,20120101TORORL,q2,0
1f1,2,2,ORL,TOR,20120101TORORL,q3,1
1f1,2,1,TOR,ORL,20120101TORORL,q3,0
1f1,2,1,ATL,MIA,20120102ATLMIA,q1,1
1f1,0,1,MIA,ATL,20120102ATLMIA,q1,0
2f1,3,2,ATL,MIA,20120102ATLMIA,q2,1
2f1,2,1,MIA,ATL,20120102ATLMIA,q2,0
2f1,4,2,MIA,ATL,20120102ATLMIA,q3,1
2f1,0,2,ATL,MIA,20120102ATLMIA,q3,0
2f1,2,2,GSW,PHX,20120102GSWPHX,q1,1
2f1,2,2,PHX,GSW,20120102GSWPHX,q1,0
2f1,2,2,GSW,PHX,20120102GSWPHX,q2,1
2f1,0,2,PHX,GSW,20120102GSWPHX,q2,0
2f1,2,2,PHX,GSW,20120102GSWPHX,q3,1
2f1,3,1,GSW,PHX,20120102GSWPHX,q3,0
2f1,0,2,NJN,IND,20120102INDNJN,q1,1
2f1,2,1,IND,NJN,20120102INDNJN,q1,0
1f1,0,2,NJN,IND,20120102INDNJN,q2,1
1f1,0,1,IND,NJN,20120102INDNJN,q2,0
2f1,2,2,NJN,IND,20120102INDNJN,q3,1
2f1,0,1,IND,NJN,20120102INDNJN,q3,0
2f1,2,2,MIL,DEN,20120102MILDEN,q1,1
2f1,2,2,DEN,MIL,20120102MILDEN,q1,0
2f1,4,2,MIL,DEN,20120102MILDEN,q2,1
2f1,3,2,DEN,MIL,20120102MILDEN,q2,0
2f1,3,2,MIL,DEN,20120102MILDEN,q3,1
2f1,0,1,DEN,MIL,20120102MILDEN,q3,0
1f1,0,2,NOH,UTA,20120102NOHUTA,q1,1
1f1,2,2,UTA,NOH,20120102NOHUTA,q1,0
2f1,2,3,UTA,NOH,20120102NOHUTA,q2,1
2f1,4,2,NOH,UTA,20120102NOHUTA,q2,0
2f1,2,2,NOH,UTA,20120102NOHUTA,q3,1
2f1,2,2,UTA,NOH,20120102NOHUTA,q3,0
1f1,2,2,OKC,DAL,20120102OKCDAL,q1,1
1f1,0,1,DAL,OKC,20120102OKCDAL,q1,0
2f1,3,2,OKC,DAL,20120102OKCDAL,q2,1
2f1,2,1,DAL,OKC,20120102OKCDAL,q2,0
2f1,2,1,OKC,DAL,20120102OKCDAL,q3,1
2f1,1,1,DAL,OKC,20120102OKCDAL,q3,0
1f1,2,2,DET,ORL,20120102ORLDET,q1,1
1f1,2,1,ORL,DET,20120102ORLDET,q1,0
1f1,0,1,ORL,DET,20120102ORLDET,q2,1
1f1,2,1,DET,ORL,20120102ORLDET,q2,0
2f1,2,2,DET,ORL,20120102ORLDET,q3,1
2f1,0,1,ORL,DET,20120102ORLDET,q3,0
2f1,4,2,MIN,SAS,20120102SASMIN,q1,1
2f1,0,1,SAS,MIN,20120102SASMIN,q1,0
2f1,5,3,SAS,MIN,20120102SASMIN,q2,1
2f1,2,2,MIN,SAS,20120102SASMIN,q2,0
2f1,2,2,SAS,MIN,20120102SASMIN,q3,1
2f1,0,1,MIN,SAS,20120102SASMIN,q3,0
2f1,0,2,TOR,NYK,20120102TORNYK,q1,1
2f1,0,2,NYK,TOR,20120102TORNYK,q1,0
1f1,2,2,TOR,NYK,20120102TORNYK,q2,1
1f1,2,1,NYK,TOR,20120102TORNYK,q2,0
1f1,0,1,NYK,TOR,20120102TORNYK,q3,1
1f1,0,1,TOR,NYK,20120102TORNYK,q3,0
2f1,0,2,BOS,WAS,20120102WASBOS,q1,1
2f1,0,1,WAS,BOS,20120102WASBOS,q1,0
2f1,3,2,BOS,WAS,20120102WASBOS,q2,1
2f1,0,2,WAS,BOS,20120102WASBOS,q2,0
1f1,2,2,BOS,WAS,20120102WASBOS,q3,1
1f1,0,1,WAS,BOS,20120102WASBOS,q3,0
2f1,0,2,ATL,CHI,20120103ATLCHI,q1,1
2f1,0,2,CHI,ATL,20120103ATLCHI,q1,0
1f1,2,2,CHI,ATL,20120103ATLCHI,q2,1
1f1,0,2,ATL,CHI,20120103ATLCHI,q2,0
2f1,1,2,CHI,ATL,20120103ATLCHI,q3,1
2f1,0,1,ATL,CHI,20120103ATLCHI,q3,0
1f1,0,2,CLE,CHA,20120103CHACLE,q1,1
1f1,2,2,CHA,CLE,20120103CHACLE,q1,0
2f1,2,2,CHA,CLE,20120103CHACLE,q2,1
